,Program,Problem,Number of Nodes,Condition,Relative Error
30, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  41,"  ['dirichlet', 'neumann']",  0.006220287319963713
31, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  81,"  ['dirichlet', 'neumann']",  0.0003900096230666783
32, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  161,"  ['dirichlet', 'neumann']",  2.5113499435014397e-05
33, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  321,"  ['dirichlet', 'neumann']",  1.5814523257606794e-06
34, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  641,"  ['dirichlet', 'neumann']",  9.902776199055552e-08
35, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  11,"  ['neumann', 'dirichlet']",  8.829190981928848
36, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  21,"  ['neumann', 'dirichlet']",  0.1056190875505979
37, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  41,"  ['neumann', 'dirichlet']",  0.0062202873199455055
38, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  81,"  ['neumann', 'dirichlet']",  0.00039000962310076215
39, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  161,"  ['neumann', 'dirichlet']",  2.5113499436457687e-05
40, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  321,"  ['neumann', 'dirichlet']",  1.5814530121005532e-06
41, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  641,"  ['neumann', 'dirichlet']",  9.90275493828463e-08
42, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  11,"  ['dirichlet', 'dirichlet']",  6.517615655090834
43, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  21,"  ['dirichlet', 'dirichlet']",  0.20156056289459662
44, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  41,"  ['dirichlet', 'dirichlet']",  0.017086590663830614
45, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  81,"  ['dirichlet', 'dirichlet']",  0.0011654051608065883
46, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  161,"  ['dirichlet', 'dirichlet']",  7.489667616988882e-05
47, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  321,"  ['dirichlet', 'dirichlet']",  4.686366569542355e-06
48, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  641,"  ['dirichlet', 'dirichlet']",  2.9535443939188166e-07
49, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  11,"  ['dirichlet', 'neumann']",  2.051996407865186
50, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  21,"  ['dirichlet', 'neumann']",  0.46923400881249744
51, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  41,"  ['dirichlet', 'neumann']",  0.036087255876651125
52, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  81,"  ['dirichlet', 'neumann']",  0.002497301385590047
53, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  161,"  ['dirichlet', 'neumann']",  0.00015856138912226538
54, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  321,"  ['dirichlet', 'neumann']",  9.975775653398022e-06
55, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  641,"  ['dirichlet', 'neumann']",  6.237304161216262e-07
56, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  11,"  ['neumann', 'dirichlet']",  2.0519964078651847
57, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  21,"  ['neumann', 'dirichlet']",  0.4692340088124973
58, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  41,"  ['neumann', 'dirichlet']",  0.036087255876647295
59, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  81,"  ['neumann', 'dirichlet']",  0.0024973013855908092
60, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  161,"  ['neumann', 'dirichlet']",  0.00015856138914655218
61, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  321,"  ['neumann', 'dirichlet']",  9.975775761839056e-06
62, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  641,"  ['neumann', 'dirichlet']",  6.237307196149677e-07
