,Program,Problem,Number of Nodes,Condition,Relative Error
36, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  21,"  ['neumann', 'dirichlet']",  0.2180144012182943
37, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  41,"  ['neumann', 'dirichlet']",  0.06447794314245425
38, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  81,"  ['neumann', 'dirichlet']",  0.016367847404500036
39, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  161,"  ['neumann', 'dirichlet']",  0.004107256805281345
40, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  321,"  ['neumann', 'dirichlet']",  0.0010277666273074137
41, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  641,"  ['neumann', 'dirichlet']",  0.0002570011286620044
42, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  11,"  ['dirichlet', 'dirichlet']",  4.4058034526666
43, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  21,"  ['dirichlet', 'dirichlet']",  0.717672467242245
44, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  41,"  ['dirichlet', 'dirichlet']",  0.17070381215139907
45, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  81,"  ['dirichlet', 'dirichlet']",  0.044764525626457524
46, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  161,"  ['dirichlet', 'dirichlet']",  0.011291285546131513
47, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  321,"  ['dirichlet', 'dirichlet']",  0.002835457099551783
48, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  641,"  ['dirichlet', 'dirichlet']",  0.0007092477165202143
49, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  11,"  ['dirichlet', 'neumann']",  2.2083442462704923
50, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  21,"  ['dirichlet', 'neumann']",  5.641599730426084
51, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  41,"  ['dirichlet', 'neumann']",  0.3760475443600348
52, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  81,"  ['dirichlet', 'neumann']",  0.09618613196163617
53, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  161,"  ['dirichlet', 'neumann']",  0.02416227214037238
54, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  321,"  ['dirichlet', 'neumann']",  0.006053069161096339
55, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  641,"  ['dirichlet', 'neumann']",  0.0015150649820890316
56, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  11,"  ['neumann', 'dirichlet']",  2.2083442462704896
57, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  21,"  ['neumann', 'dirichlet']",  5.6415997304261705
58, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  41,"  ['neumann', 'dirichlet']",  0.3760475443600356
59, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  81,"  ['neumann', 'dirichlet']",  0.09618613196163611
60, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  161,"  ['neumann', 'dirichlet']",  0.024162272140348398
61, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  321,"  ['neumann', 'dirichlet']",  0.006053069161168531
62, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  helmholtz,  641,"  ['neumann', 'dirichlet']",  0.0015150649823604811
